state,x,y
ANDAMAN AND NICOBAR,11,92
ANDHRA PRADESH,-120.0,-217.0
ARUNACHAL PRADESH,335.0,242.0
ASSAM,307.0,162.0
BIHAR,82.0,135.0
CHANDIGARH,30,76
CHHATTISGARH,-19.0,-6.0
DELHI,-137.0,230.0
GOA,-261.0,-196.0
HARYANA,-176.0,238.0
HIMACHAL PRADESH,-157.0,331.0
JAMMU AND KASHMIR,34,74
JHARKHAND,75.0,64.0
KARNATAKA,-211.0,-227.0
KERALA,-204.0,-330.0
LAKSHADWEEP,10,72
MADHYA PRADESH,-119.0,63.0
MAHARASHTRA,-203.0,-88.0
MANIPUR,328.0,118.0
MEGHALAYA,25,91
MIZORAM,297.0,66.0
NAGALAND,343.0,169.0
ORISSA,52.0,-34.0
PUDUCHERRY,11,79
PUNJAB,-208.0,294.0
RAJASTHAN,-263.0,164.0
SIKKIM,180.0,169.0
TAMILNADU,-120.0,-326.0
TRIPURA,266.0,81.0
UTTAR PRADESH,-40.0,165.0
UTTARANCHAL,30,78
WEST BENGAL,155.0,54.0
TELANGANA,-117.0,-134.0
GUJARAT,-312.0,47.0
HIMALAYA,29.0,219.0
